KODU;IL_KODU;AD;IL_ADI;
2033;1;ÇUKUROVA;ADANA;
2032;1;SARIÇAM;ADANA;
1806;1;İMAMOĞLU;ADANA;
1757;1;ALADAĞ;ADANA;
1748;1;YÜREĞİR;ADANA;
1734;1;YUMURTALIK;ADANA;
1687;1;TUFANBEYLİ;ADANA;
1588;1;SAİMBEYLİ;ADANA;
1580;1;POZANTI;ADANA;
1486;1;KOZAN;ADANA;
1443;1;KARATAŞ;ADANA;
1437;1;KARAİSALI;ADANA;
1329;1;FEKE;ADANA;
1219;1;CEYHAN;ADANA;
1104;1;SEYHAN;ADANA;
1989;2;TUT;ADIYAMAN;
1985;2;SİNCİK;ADIYAMAN;
1592;2;SAMSAT;ADIYAMAN;
1425;2;KAHTA;ADIYAMAN;
1354;2;GÖLBAŞI;ADIYAMAN;
1347;2;GERGER;ADIYAMAN;
1246;2;ÇELİKHAN;ADIYAMAN;
1182;2;BESNİ;ADIYAMAN;
1105;2;MERKEZ;ADIYAMAN;
1961;3;KIZILÖREN;AFYONKARAHİSAR;
1944;3;HOCALAR;AFYONKARAHİSAR;
1923;3;EVCİLER;AFYONKARAHİSAR;
1906;3;ÇOBANLAR;AFYONKARAHİSAR;
1809;3;İSCEHİSAR;AFYONKARAHİSAR;
1773;3;BAYAT;AFYONKARAHİSAR;
1771;3;BAŞMAKÇI;AFYONKARAHİSAR;
1664;3;ŞUHUT;AFYONKARAHİSAR;
1639;3;SULTANDAĞI;AFYONKARAHİSAR;
1626;3;SİNANPAŞA;AFYONKARAHİSAR;
1594;3;SANDIKLI;AFYONKARAHİSAR;
1404;3;İHSANİYE;AFYONKARAHİSAR;
1306;3;EMİRDAĞ;AFYONKARAHİSAR;
1281;3;DİNAR;AFYONKARAHİSAR;
1267;3;DAZKIRI;AFYONKARAHİSAR;
1239;3;ÇAY;AFYONKARAHİSAR;
1200;3;BOLVADİN;AFYONKARAHİSAR;
1108;3;MERKEZ;AFYONKARAHİSAR;
1691;4;TUTAK;AĞRI;
1667;4;TAŞLIÇAY;AĞRI;
1568;4;PATNOS;AĞRI;
1379;4;HAMUR;AĞRI;
1301;4;ELEŞKİRT;AĞRI;
1287;4;DOĞUBAYAZIT;AĞRI;
1283;4;DİYADİN;AĞRI;
1111;4;MERKEZ;AĞRI;
1938;5;HAMAMÖZÜ;AMASYA;
1668;5;TAŞOVA;AMASYA;
1641;5;SULUOVA;AMASYA;
1524;5;MERZİFON;AMASYA;
1368;5;GÜMÜŞHACIKÖY;AMASYA;
1363;5;GÖYNÜCEK;AMASYA;
1134;5;MERKEZ;AMASYA;
2034;6;PURSAKLAR;ANKARA;
1924;6;EVREN;ANKARA;
1922;6;ETİMESGUT;ANKARA;
1872;6;AKYURT;ANKARA;
1815;6;KAHRAMANKAZAN;ANKARA;
1747;6;SİNCAN;ANKARA;
1746;6;MAMAK;ANKARA;
1745;6;KEÇİÖREN;ANKARA;
1744;6;GÖLBAŞI;ANKARA;
1723;6;YENİMAHALLE;ANKARA;
1658;6;ŞEREFLİKOÇHİSAR;ANKARA;
1578;6;POLATLI;ANKARA;
1539;6;NALLIHAN;ANKARA;
1473;6;KIZILCAHAMAM;ANKARA;
1427;6;KALECİK;ANKARA;
1387;6;HAYMANA;ANKARA;
1365;6;GÜDÜL;ANKARA;
1302;6;ELMADAĞ;ANKARA;
1260;6;ÇUBUK;ANKARA;
1231;6;ÇANKAYA;ANKARA;
1227;6;ÇAMLIDERE;ANKARA;
1187;6;BEYPAZARI;ANKARA;
1167;6;BALA;ANKARA;
1157;6;AYAŞ;ANKARA;
1130;6;ALTINDAĞ;ANKARA;
2039;7;MURATPAŞA;ANTALYA;
2038;7;KONYAALTI;ANTALYA;
2037;7;KEPEZ;ANTALYA;
2036;7;DÖŞEMEALTI;ANTALYA;
2035;7;AKSU;ANTALYA;
1959;7;KEMER;ANTALYA;
1946;7;İBRADI;ANTALYA;
1811;7;DEMRE;ANTALYA;
1616;7;SERİK;ANTALYA;
1512;7;MANAVGAT;ANTALYA;
1492;7;KUMLUCA;ANTALYA;
1483;7;KORKUTELİ;ANTALYA;
1451;7;KAŞ;ANTALYA;
1370;7;GÜNDOĞMUŞ;ANTALYA;
1337;7;GAZİPAŞA;ANTALYA;
1333;7;FİNİKE;ANTALYA;
1303;7;ELMALI;ANTALYA;
1138;7;MERKEZ;ANTALYA;
1126;7;ALANYA;ANTALYA;
1121;7;AKSEKİ;ANTALYA;
2105;8;KEMALPAŞA;ARTVİN;
1828;8;MURGUL;ARTVİN;
1736;8;YUSUFELİ;ARTVİN;
1653;8;ŞAVŞAT;ARTVİN;
1395;8;HOPA;ARTVİN;
1202;8;BORÇKA;ARTVİN;
1152;8;MERKEZ;ARTVİN;
1147;8;ARHAVİ;ARTVİN;
1145;8;ARDANUÇ;ARTVİN;
2076;9;EFELER;AYDIN;
2000;9;DİDİM;AYDIN;
1968;9;KÖŞK;AYDIN;
1957;9;KARPUZLU;AYDIN;
1807;9;İNCİRLİOVA;AYDIN;
1781;9;BUHARKENT;AYDIN;
1724;9;YENİPAZAR;AYDIN;
1640;9;SULTANHİSAR;AYDIN;
1637;9;SÖKE;AYDIN;
1542;9;NAZİLLİ;AYDIN;
1498;9;KUYUCAK;AYDIN;
1497;9;KUŞADASI;AYDIN;
1479;9;KOÇARLI;AYDIN;
1435;9;KARACASU;AYDIN;
1348;9;GERMENCİK;AYDIN;
1256;9;ÇİNE;AYDIN;
1206;9;BOZDOĞAN;AYDIN;
1159;9;MERKEZ;AYDIN;
2078;10;KARESİ;BALIKESİR;
2077;10;ALTIEYLÜL;BALIKESİR;
1928;10;GÖMEÇ;BALIKESİR;
1824;10;MARMARA;BALIKESİR;
1644;10;SUSURLUK;BALIKESİR;
1619;10;SINDIRGI;BALIKESİR;
1608;10;SAVAŞTEPE;BALIKESİR;
1514;10;MANYAS;BALIKESİR;
1462;10;KEPSUT;BALIKESİR;
1418;10;İVRİNDİ;BALIKESİR;
1384;10;HAVRAN;BALIKESİR;
1360;10;GÖNEN;BALIKESİR;
1310;10;ERDEK;BALIKESİR;
